DU 96-150
0.9999996	-0.1620631E-02
0.9685857	-0.3776005E-02
0.9372031	-0.6320490E-02
0.9058826	-0.9228565E-02
0.8746554	-0.1246381E-01
0.8435520	-0.1598801E-01
0.8126034	-0.1975978E-01
0.7818399	-0.2373514E-01
0.7512920	-0.2786796E-01
0.7209898	-0.3211060E-01
0.6909631	-0.3641450E-01
0.6612417	-0.4073077E-01
0.6318547	-0.4501082E-01
0.6028312	-0.4920699E-01
0.5741998	-0.5327317E-01
0.5459887	-0.5716528E-01
0.5182257	-0.6084192E-01
0.4909384	-0.6426475E-01
0.4641534	-0.6739899E-01
0.4378973	-0.7021376E-01
0.4121960	-0.7268235E-01
0.3870748	-0.7478249E-01
0.3625585	-0.7649644E-01
0.3386713	-0.7781109E-01
0.3154367	-0.7871794E-01
0.2928777	-0.7921297E-01
0.2710165	-0.7929654E-01
0.2498747	-0.7897309E-01
0.2294732	-0.7825091E-01
0.2098321	-0.7714173E-01
0.1909708	-0.7566036E-01
0.1729078	-0.7382431E-01
0.1556611	-0.7165061E-01
0.1392476	-0.6916477E-01
0.1236836	-0.6638764E-01
0.1089843	-0.6334268E-01
0.9516442E-01	-0.6005368E-01
0.8223745E-01	-0.5654444E-01
0.7021619E-01 -0.5283833E-01
0.5911251E-01 -0.4895801E-01
0.4893736E-01 -0.4492515E-01
0.3970080E-01 -0.4076021E-01
0.3141193E-01 -0.3648230E-01
0.2407893E-01 -0.3210909E-01
0.1770905E-01 -0.2765682E-01
0.1230857E-01 -0.2314031E-01
0.7882824E-02 -0.1857296E-01
0.4436175E-02 -0.1396656E-01
0.1972027E-02 -0.9331221E-02
0.4928020E-03 -0.4694419E-02
-0.3893603E-06 -0.6273615E-03
0.4928309E-03  0.4672341E-02
0.1972032E-02  0.9300561E-02
0.4436180E-02  0.1393231E-01
0.7882829E-02  0.1853502E-01
0.1230858E-01  0.2309779E-01
0.1770906E-01  0.2760839E-01
0.2407894E-01  0.3205343E-01
0.3141193E-01  0.3641821E-01
0.3970080E-01  0.4068658E-01
0.4893737E-01  0.4484089E-01
0.5911251E-01  0.4886208E-01
0.7021619E-01  0.5272970E-01
0.8223745E-01  0.5642211E-01
0.9516442E-01  0.5991666E-01
0.1089843      0.6319134E-01
0.1236836      0.6621916E-01
0.1392476      0.6897834E-01
0.1556611      0.7144540E-01
0.1729078      0.7359769E-01
0.1909708      0.7541384E-01
0.2098321      0.7687419E-01
0.2294732      0.7796129E-01
0.2498747      0.7866033E-01
0.2710165      0.7895959E-01
0.2928777      0.7885081E-01
0.3154367      0.7832953E-01
0.3386713      0.7739541E-01
0.3625585      0.7605249E-01
0.3870748      0.7430927E-01
0.4121960      0.7217890E-01
0.4378973      0.6967912E-01
0.4641534      0.6683226E-01
0.4909384      0.6366504E-01
0.5182257      0.6020839E-01
0.5459887      0.5649714E-01
0.5741998      0.5256967E-01
0.6028312      0.4846745E-01
0.6318547      0.4423460E-01
0.6612417      0.3991731E-01
0.6909631      0.3556332E-01
0.7209898      0.3122127E-01
0.7512920      0.2694012E-01
0.7818399      0.2276851E-01
0.8126034      0.1875415E-01
0.8435520      0.1494321E-01
0.8746554      0.1137975E-01
0.9058826      0.8105192E-02
0.9372031      0.5157800E-02
0.9685857      0.2572873E-02
0.9999996      0.3793687E-03
