  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 12:19:39	   2.005	   2.000	    0.00	    0.00	    0.00	   377.2	  -217.4	   107.4	   209.8	   227.9	   129.7	   0.000	   0.000	     0.0	     0.0	       0	   -0.00	   -0.00	    0.00	    0.00	    0.00	  13.007	  12.732	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 12:20:30	   2.005	   6.005	    0.00	    0.00	    0.00	   332.2	  -824.3	   -42.0	   390.1	   182.7	   465.9	   0.000	   0.000	     0.0	     0.0	       0	   -0.00	   -0.00	    0.00	    0.00	    0.00	  12.886	  12.640	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 12:21:56	   2.005	   2.000	    0.00	    0.00	    0.00	  1384.2	  -791.1	   452.4	   837.5	   838.5	   470.6	   0.000	   0.000	     0.0	     0.0	       0	   -0.00	   -0.00	    0.00	    0.00	    0.00	  12.754	  12.568	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 12:22:53	   2.005	  10.000	    0.00	    0.00	    0.00	   933.6	 -5232.2	  -652.2	  2277.4	   336.3	  2763.2	   0.000	   0.000	     0.0	     0.0	       0	   -0.00	   -0.00	    0.00	    0.00	    0.00	  12.778	  12.606	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 12:23:58	   2.005	  10.000	    0.00	    0.00	    0.00	   432.9	  -785.2	   -81.9	   440.3	   196.0	   401.4	   0.000	   0.000	     0.0	     0.0	       0	   -0.00	   -0.00	    0.00	    0.00	    0.00	  12.739	  12.580	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 12:26:04	   2.005	   6.000	    0.00	    0.00	    0.00	  1216.1	 -3237.0	  -151.0	  1541.6	   663.5	  1804.5	   0.000	   0.000	     0.0	     0.0	       0	   -0.00	   -0.00	    0.00	    0.00	    0.00	  12.751	  12.624	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 12:27:18	   2.005	  -0.005	    0.00	    0.00	    0.00	   385.2	    31.6	   161.6	   148.6	   233.6	   -36.4	   0.000	   0.000	     0.0	     0.0	       0	   -0.00	   -0.00	    0.00	    0.00	    0.00	  12.748	  12.642	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 12:28:32	   2.005	  -0.005	    0.00	    0.00	    0.00	  1391.5	   118.5	   652.4	   618.9	   861.8	  -148.0	   0.000	   0.000	     0.0	     0.0	       0	   -0.00	   -0.00	    0.00	    0.00	    0.00	  12.768	  12.660	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 12:29:19	   2.005	   4.000	    0.00	    0.00	    0.00	  1342.1	 -1962.5	   158.4	  1163.7	   786.2	  1126.1	   0.000	   0.000	     0.0	     0.0	       0	   -0.00	   -0.00	    0.00	    0.00	    0.00	  12.828	  12.729	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 12:30:37	   2.005	   4.000	    0.00	    0.00	    0.00	   359.4	  -513.2	    32.5	   285.4	   213.0	   298.1	   0.000	   0.000	     0.0	     0.0	       0	   -0.00	   -0.00	    0.00	    0.00	    0.00	  12.822	  12.725	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
