  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      78	 14:17:25	   1.995	   6.000	    0.00	    0.00	    0.00	  1029.1	 -3975.4	  -382.6	  1812.4	   506.5	  2211.7	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   80.97	    5.26	    0.00	    0.00	  14.432	  14.883	  27.661	  40.016	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      79	 14:18:18	   1.995	  -6.000	    0.00	    0.00	    0.00	  1076.8	  3493.8	  1681.0	  -192.2	   486.1	 -1894.8	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   77.79	    4.92	    0.00	    0.00	  14.394	  15.118	  27.518	  40.017	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      80	 14:18:55	   1.995	  -1.995	    0.00	    0.00	    0.00	  1252.2	   938.5	   890.1	   436.5	   719.3	  -569.8	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   80.18	    4.94	    0.00	    0.00	  14.411	  15.260	  27.517	  40.016	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      81	 14:19:32	   1.995	   4.000	    0.00	    0.00	    0.00	  1163.0	 -2573.5	   -25.9	  1402.0	   626.0	  1464.8	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   80.95	    5.17	    0.00	    0.00	  14.468	  15.386	  27.624	  40.016	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      82	 14:20:00	   1.995	   2.000	    0.00	    0.00	    0.00	  1228.2	 -1261.7	   323.1	  1009.4	   697.0	   764.7	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   80.88	    5.05	    0.00	    0.00	  14.483	  15.472	  27.565	  40.016	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      83	 14:20:49	   1.995	  10.000	    0.00	    0.00	    0.00	   714.5	 -6078.0	  -918.2	  2603.7	   144.6	  3217.9	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   78.45	    5.62	    0.00	    0.00	  14.519	  15.637	  27.805	  40.014	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      84	 14:21:38	   1.995	   0.000	    0.00	    0.00	    0.00	  1233.6	  -252.8	   554.4	   761.3	   717.0	    82.5	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   80.59	    5.00	    0.00	    0.00	  14.513	  15.773	  27.536	  40.016	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      85	 14:22:24	   1.995	  -9.995	    0.00	    0.00	    0.00	   713.8	  5765.1	  2464.8	  -774.4	   154.9	 -3005.7	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   73.62	    5.04	    0.00	    0.00	  14.501	  15.847	  27.554	  40.016	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      86	 14:23:07	   1.995	  -4.000	    0.00	    0.00	    0.00	  1178.8	  2109.1	  1261.0	   143.0	   605.6	 -1171.6	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   79.30	    4.93	    0.00	    0.00	  14.503	  15.900	  27.495	  40.016	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
