  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      41	 13:40:12	   1.995	  -4.000	    0.00	    0.00	    0.00	  1217.4	  1578.7	  1107.2	   278.5	   656.1	  -805.1	   0.000	   0.000	     0.0	     0.0	       0	   93.75	   79.41	    3.81	    0.00	    0.00	  15.197	  15.866	  37.199	  40.019	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      42	 13:40:57	   1.995	   4.000	    0.00	    0.00	    0.00	  1177.2	 -3116.3	  -177.5	  1543.7	   650.3	  1839.2	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   80.99	    3.98	    0.00	    0.00	  14.977	  16.021	  37.302	  40.019	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      43	 13:41:44	   1.995	   6.005	    0.00	    0.00	    0.00	  1036.4	 -4505.8	  -531.5	  1950.8	   523.8	  2577.4	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   80.97	    4.06	    0.00	    0.00	  14.827	  16.222	  37.344	  40.018	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      44	 13:42:28	   1.995	  -2.005	    0.00	    0.00	    0.00	  1285.4	   416.2	   732.5	   567.8	   767.8	  -213.1	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   80.25	    3.82	    0.00	    0.00	  14.723	  16.396	  37.125	  40.019	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      45	 13:43:20	   1.995	  -9.995	    0.00	    0.00	    0.00	   759.8	  5176.8	  2287.7	  -632.1	   226.4	 -2599.4	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   73.74	    3.89	    0.00	    0.00	  14.618	  16.560	  37.170	  40.019	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      46	 13:44:07	   1.995	   0.000	    0.00	    0.00	    0.00	  1250.8	  -823.9	   394.9	   907.0	   753.6	   476.1	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   80.69	    3.85	    0.00	    0.00	  14.580	  16.681	  37.129	  40.019	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      47	 13:44:33	   1.995	   2.000	    0.00	    0.00	    0.00	  1240.2	 -1821.6	   165.0	  1151.0	   727.7	  1151.2	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   80.91	    3.91	    0.00	    0.00	  14.574	  16.743	  37.166	  40.019	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      48	 13:45:18	   1.995	  -5.995	    0.00	    0.00	    0.00	  1116.3	  2894.4	  1504.6	   -45.3	   543.9	 -1482.3	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   77.91	    3.80	    0.00	    0.00	  14.540	  16.839	  37.057	  40.019	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      49	 13:46:16	   1.995	  10.000	    0.00	    0.00	    0.00	   728.3	 -6584.3	 -1057.1	  2737.8	   162.9	  3566.4	   0.000	   0.000	     0.0	     0.0	       0	   93.75	   78.50	    4.31	    0.00	    0.00	  14.539	  16.937	  37.473	  40.018	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      50	 13:47:27	   1.995	  -9.995	    0.00	    0.00	    0.00	   454.3	   671.3	   403.7	   -61.4	   205.4	  -300.9	   0.000	   0.000	     0.0	     0.0	       0	   46.87	   37.21	    0.50	    0.00	    0.00	  14.395	  16.796	  39.429	  40.027	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      51	 13:48:36	   1.995	  10.000	    0.00	    0.00	    0.00	   402.6	 -1131.0	  -191.6	   547.4	   180.7	   611.4	   0.000	   0.000	     0.0	     0.0	       0	   46.87	   39.36	    0.53	    0.00	    0.00	  14.202	  16.389	  39.673	  40.027	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      52	 13:49:30	   1.995	   0.000	    0.00	    0.00	    0.00	   370.4	  -221.6	    84.9	   218.5	   231.4	   131.2	   0.000	   0.000	     0.0	     0.0	       0	   46.87	   40.60	    0.50	    0.00	    0.00	  14.067	  16.102	  39.403	  40.027	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      53	 13:50:03	   1.995	  -2.000	    0.00	    0.00	    0.00	   371.7	    81.4	   166.4	   140.6	   230.8	   -38.9	   0.000	   0.000	     0.0	     0.0	       0	   46.87	   40.22	    0.49	    0.00	    0.00	  14.000	  15.963	  39.402	  40.026	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      54	 13:50:34	   1.995	  -5.995	    0.00	    0.00	    0.00	   447.8	   195.4	   237.0	    83.8	   237.5	   -73.3	   0.000	   0.000	     0.0	     0.0	       0	   46.87	   39.37	    0.50	    0.00	    0.00	  13.942	  15.830	  39.408	  40.026	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      55	 13:51:23	   1.995	   6.000	    0.00	    0.00	    0.00	   306.8	 -1128.0	  -137.4	   480.9	   170.6	   655.1	   0.000	   0.000	     0.0	     0.0	       0	   46.87	   40.53	    0.51	    0.00	    0.00	  13.855	  15.648	  39.582	  40.026	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      56	 13:52:06	   1.995	  -3.995	    0.00	    0.00	    0.00	   352.4	   395.3	   252.7	    60.8	   216.7	  -205.9	   0.000	   0.000	     0.0	     0.0	       0	   46.86	   39.84	    0.48	    0.00	    0.00	  13.775	  15.511	  39.420	  40.027	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      57	 13:52:40	   1.995	   2.000	    0.00	    0.00	    0.00	   358.1	  -500.1	    21.1	   290.2	   222.2	   312.9	   0.000	   0.000	     0.0	     0.0	       0	   46.87	   40.73	    0.51	    0.00	    0.00	  13.723	  15.415	  39.498	  40.027	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      58	 13:53:10	   1.995	   4.005	    0.00	    0.00	    0.00	   337.0	  -816.0	   -59.0	   376.5	   203.8	   492.4	   0.000	   0.000	     0.0	     0.0	       0	   46.87	   40.76	    0.51	    0.00	    0.00	  13.685	  15.335	  39.582	  40.027	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      59	 13:54:33	   1.995	  -4.000	    0.00	    0.00	    0.00	  1217.0	  1577.8	  1105.7	   278.9	   655.9	  -804.7	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   79.41	    3.61	    0.00	    0.00	  13.730	  15.599	  39.585	  40.019	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
