  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 12:50:21	   1.995	   6.005	    0.00	    0.00	    0.00	  1027.7	 -3425.6	  -233.0	  1667.8	   505.9	  1834.8	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   80.79	    3.97	    0.00	    0.00	  13.377	  13.720	  38.239	  40.019	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 12:51:45	   1.995	  10.000	    0.00	    0.00	    0.00	   399.2	  -872.3	  -118.7	   477.9	   174.8	   434.8	   0.000	   0.000	     0.0	     0.0	       0	   46.88	   39.23	    0.56	    0.00	    0.00	  13.318	  14.124	  37.493	  40.026	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 12:53:11	   1.995	 -10.000	    0.00	    0.00	    0.00	   690.4	  6327.5	  2634.1	  -910.2	   117.9	 -3388.5	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   73.46	    3.84	    0.00	    0.00	  13.362	  14.648	  37.601	  40.020	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 12:54:20	   1.995	   2.000	    0.00	    0.00	    0.00	   352.3	  -230.3	    99.4	   219.8	   208.5	   128.4	   0.000	   0.000	     0.0	     0.0	       0	   46.88	   40.65	    0.48	    0.00	    0.00	  13.374	  14.891	  40.490	  40.027	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 12:56:17	   1.995	  10.005	    0.00	    0.00	    0.00	   717.2	 -5550.2	  -775.6	  2460.7	   156.4	  2853.5	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   78.37	    4.00	    0.00	    0.00	  13.523	  15.566	  40.469	  40.019	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 12:57:12	   1.995	   0.000	    0.00	    0.00	    0.00	  1226.3	   263.6	   706.0	   632.1	   697.8	  -267.1	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   80.51	    3.58	    0.00	    0.00	  13.615	  15.936	  40.011	  40.020	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 12:58:35	   1.995	 -10.000	    0.00	    0.00	    0.00	   437.2	   977.5	   494.2	  -137.9	   180.0	  -512.3	   0.000	   0.000	     0.0	     0.0	       0	   46.87	   37.00	    0.57	    0.00	    0.00	  13.531	  15.845	  35.395	  40.027	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 12:59:32	   1.995	  -6.000	    0.00	    0.00	    0.00	   424.6	   497.4	   329.9	     6.3	   211.5	  -280.2	   0.000	   0.000	     0.0	     0.0	       0	   46.86	   39.26	    0.54	    0.00	    0.00	  13.440	  15.577	  35.328	  40.026	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 13:00:27	   1.995	   6.005	    0.00	    0.00	    0.00	   304.4	  -873.5	   -65.0	   412.5	   164.3	   480.6	   0.000	   0.000	     0.0	     0.0	       0	   46.87	   40.46	    0.57	    0.00	    0.00	  13.374	  15.333	  35.460	  40.026	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 13:01:40	   1.995	   3.995	    0.00	    0.00	    0.00	  1165.9	 -2025.1	   127.0	  1260.2	   621.9	  1091.5	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   80.86	    4.26	    0.00	    0.00	  13.469	  15.434	  34.353	  40.018	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      11	 13:02:41	   1.995	  -6.000	    0.00	    0.00	    0.00	  1054.2	  4048.0	  1837.3	  -333.3	   463.4	 -2273.2	   0.000	   0.000	     0.0	     0.0	       0	   93.74	   77.66	    4.09	    0.00	    0.00	  13.613	  15.765	  34.265	  40.018	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 13:03:38	   1.995	   2.000	    0.00	    0.00	    0.00	  1214.6	  -759.7	   468.7	   880.2	   680.1	   424.6	   0.000	   0.000	     0.0	     0.0	       0	   93.75	   80.75	    4.21	    0.00	    0.00	  13.740	  16.020	  34.327	  40.018	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
