  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	   2.005	   2.000	209.2674	29.523472	14.61606	26.10798	21.657164	210.1537	15.637515	 0.79432	-26.43044	-4.95067	28.995394	-15.637515	209.267444	-1.92378	-31.14799	-4.98150	    3.45	   -1.86	   24.92	   -0.32	   -0.61	   -0.83	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       2	   2.005	   6.005	215.9995	32.203519	59.76432	16.02733	18.202796	216.7689	62.805361	 5.04613	-38.16489	-17.62523	25.774551	-62.805361	215.999471	-5.79271	-42.35841	-17.81265	    3.07	   -7.48	   25.72	   -0.97	   -0.83	   -2.97	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       3	   2.005	   2.000	837.0788	108.675863	53.44142	103.36367	77.396996	840.3006	57.201601	 4.24138	-106.71148	-18.18449	106.744582	-57.201601	837.078839	-5.70482	-124.07883	-18.34408	   12.71	   -6.81	   99.68	   -0.95	   -2.44	   -3.06	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       4	   2.005	  10.000	907.7839	142.435266	396.78939	 4.60490	39.570297	909.7249	415.494890	42.74834	-222.82633	-106.29802	71.369601	-415.494890	907.783921	-28.60189	-234.43816	-107.85944	    8.50	  -49.48	  108.10	   -4.77	   -4.61	  -17.98	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       5	   2.005	  10.000	224.6199	43.340162	57.61284	-18.36402	24.799828	225.6255	64.263514	12.51870	-74.77039	-14.69077	32.677363	-64.263514	224.619855	 1.54082	-80.08700	-15.13796	    3.89	   -7.65	   26.75	    0.26	   -1.57	   -2.52	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       6	   2.005	   6.000	853.2909	119.390663	236.25161	68.71374	64.134677	856.0584	247.437118	20.55910	-145.30086	-69.55870	94.041612	-247.437118	853.290948	-22.14777	-160.60143	-70.32093	   11.20	  -29.46	  101.61	   -3.69	   -3.16	  -11.72	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       7	   2.005	  -0.005	207.0844	30.162392	-0.94650	22.64609	22.899730	208.0128	-0.949129	-0.80175	-29.35711	 1.48182	30.162310	0.949129	207.084418	-0.59494	-34.26451	 1.51080	    3.59	    0.11	   24.66	   -0.10	   -0.67	    0.25	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       8	   2.005	  -0.005	832.3697	107.851564	-1.03294	111.27017	78.667943	835.6330	-1.042350	-2.86960	-97.63809	 5.74943	107.851473	1.042350	832.369659	-2.49688	-115.18552	 5.85339	   12.84	    0.12	   99.12	   -0.42	   -2.26	    0.98	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       9	   2.005	   4.000	843.0719	113.694541	138.56164	88.70662	74.196613	846.1853	146.155040	12.71829	-122.83972	-43.28784	103.752015	-146.155040	843.071938	-12.58505	-139.72017	-43.75953	   12.36	  -17.40	  100.39	   -2.10	   -2.74	   -7.30	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      10	   2.005	   4.000	206.6413	30.427362	35.70074	22.50156	20.617215	207.4895	37.736279	 2.38186	-29.37081	-11.20587	27.862885	-37.736279	206.641259	-4.15177	-33.90410	-11.29611	    3.32	   -4.49	   24.61	   -0.69	   -0.67	   -1.88	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
