  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      78	   1.995	   6.000	842.4868	111.327059	293.92952	50.82948	50.611398	844.7611	303.956193	36.34458	-160.36080	-84.69619	79.993196	-303.956193	842.486773	-16.08364	-173.37569	-86.01377	    9.53	  -36.19	  100.32	   -2.68	   -3.41	  -14.34	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      79	   1.995	  -6.000	867.0482	110.719482	-261.89050	27.55644	52.499307	869.4033	-272.029172	-23.83642	-189.79437	73.10724	82.737938	272.029172	867.048236	22.98570	-203.25583	73.98202	    9.85	   32.39	  103.25	    3.83	   -3.99	   12.33	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      80	   1.995	  -1.995	832.0030	99.322409	-63.30705	84.21518	68.031216	834.8779	-66.726319	-5.62264	-124.50430	22.10015	97.058344	66.726319	832.003042	 6.00755	-140.29569	22.30944	   11.56	    7.95	   99.07	    1.00	   -2.76	    3.72	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      81	   1.995	   4.000	838.8452	103.619670	185.93719	65.86254	61.135618	841.4840	192.712402	26.50932	-144.50846	-55.82972	90.396934	-192.712402	838.845227	-6.80730	-159.21605	-56.78714	   10.77	  -22.95	   99.89	   -1.13	   -3.13	   -9.47	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      82	   1.995	   2.000	830.4508	98.121036	86.22466	81.15124	66.080200	833.2568	89.596509	14.60349	-127.16295	-29.09091	95.052066	-89.596509	830.450793	-0.99683	-142.62792	-29.61732	   11.32	  -10.67	   98.89	   -0.17	   -2.80	   -4.94	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      83	   1.995	  10.000	900.1924	137.718698	464.65977	-20.76637	23.563347	901.5594	481.515141	61.79921	-246.15622	-123.19998	54.939120	-481.515141	900.192360	-20.87554	-255.09481	-125.42772	    6.54	  -57.34	  107.19	   -3.48	   -5.01	  -20.91	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      84	   1.995	   0.000	826.0695	96.218542	24.53264	87.70311	67.398514	828.9188	24.532644	 5.43476	-119.52658	-2.69573	96.218542	-24.532644	826.069539	 1.34603	-135.18134	-2.88671	   11.46	   -2.92	   98.37	    0.22	   -2.66	   -0.48	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      85	   1.995	  -9.995	903.1681	131.699207	-443.19914	 0.93195	21.299690	904.4581	-459.330677	-46.67122	-225.18258	114.76070	52.777761	459.330677	903.168118	32.09074	-233.76952	116.45629	    6.29	   54.70	  107.55	    5.35	   -4.59	   19.41	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      86	   1.995	  -4.000	848.8554	102.271840	-153.77612	47.43593	61.685440	851.5194	-160.535653	-15.43339	-165.44392	44.80259	91.295831	160.535653	848.855412	12.25694	-180.29776	45.36744	   10.87	   19.12	  101.08	    2.04	   -3.54	    7.56	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
