  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      41	   1.995	  -4.000	850.0214	102.943482	-120.53524	62.57500	64.631060	852.7888	-127.422600	-6.40365	-150.62220	30.80266	94.284603	127.422600	850.021378	15.40569	-165.96231	31.04445	   11.23	   15.17	  101.22	    2.57	   -3.26	    5.18	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      42	   1.995	   4.000	838.9108	107.081125	219.73455	74.99822	62.227374	841.5878	226.668891	35.47492	-135.39873	-70.16969	91.492373	-226.668891	838.910846	-3.87180	-150.28454	-71.44819	   10.90	  -26.99	   99.90	   -0.65	   -2.95	  -11.91	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      43	   1.995	   6.005	840.7433	115.383970	326.86059	58.16188	51.234059	843.0383	337.137953	45.17455	-152.59769	-98.70923	80.556229	-337.137953	840.743254	-13.14628	-165.70419	-100.34298	    9.59	  -40.15	  100.11	   -2.19	   -3.26	  -16.73	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      44	   1.995	  -2.005	828.6081	100.741352	-30.18768	99.40134	70.712304	831.5744	-33.693807	 3.40551	-108.49226	 8.46955	99.623508	33.693807	828.608089	 9.18068	-124.70100	 8.35604	   11.86	    4.01	   98.67	    1.53	   -2.45	    1.39	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      45	   1.995	  -9.995	900.1207	128.826462	-406.38542	25.45240	24.963175	901.5365	-422.577080	-36.84359	-199.93173	99.25434	56.338088	422.577080	900.120716	35.39214	-209.09794	100.59817	    6.71	   50.32	  107.19	    5.90	   -4.11	   16.77	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      46	   1.995	   0.000	826.7162	97.548907	60.29217	103.76224	68.704834	829.6114	60.292170	14.50796	-103.64061	-17.76824	97.548907	-60.292170	826.716199	 4.07021	-119.51182	-18.28447	   11.62	   -7.18	   98.44	    0.68	   -2.35	   -3.05	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      47	   1.995	   2.000	828.4354	100.266299	121.15506	95.13028	67.073988	831.2749	124.580502	23.60224	-112.68844	-43.89566	95.976969	-124.580502	828.435431	 1.78844	-128.30390	-44.74458	   11.43	  -14.83	   98.65	    0.30	   -2.52	   -7.46	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      48	   1.995	  -5.995	863.9734	109.807783	-224.18967	46.06755	55.658322	866.4367	-234.432084	-14.10005	-170.54162	57.34534	85.792502	234.432084	863.973367	26.04971	-184.50006	57.87137	   10.22	   27.92	  102.88	    4.34	   -3.62	    9.65	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      49	   1.995	  10.000	901.6665	144.283722	495.74053	-15.10628	24.578754	903.0699	513.263720	70.08443	-240.87376	-136.56446	56.007289	-513.263720	901.666543	-18.22685	-249.98615	-139.08902	    6.67	  -61.12	  107.37	   -3.04	   -4.91	  -23.19	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      50	   1.995	  -9.995	219.9328	42.276659	-50.43894	-11.52344	25.203085	220.9443	-57.011051	-11.05699	-66.75951	10.25362	32.880727	57.011051	219.932780	-1.41713	-72.10921	10.64506	    3.92	    6.79	   26.19	   -0.24	   -1.42	    1.77	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      51	   1.995	  10.000	220.9355	45.741037	81.94769	-16.81875	23.104757	221.8745	88.645569	19.28344	-72.28738	-22.37519	30.816061	-88.645569	220.935525	 4.06908	-77.30115	-23.06059	    3.67	  -10.56	   26.31	    0.68	   -1.52	   -3.84	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      52	   1.995	   0.000	203.8389	29.584501	15.32334	25.25792	22.469222	204.7454	15.323340	 3.77216	-25.92842	-4.62562	29.584501	-15.323340	203.838864	 1.11551	-30.74182	-4.75985	    3.52	   -1.82	   24.27	    0.19	   -0.60	   -0.79	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      53	   1.995	  -2.000	205.6265	29.321720	-5.84171	27.09940	21.922757	206.5150	-6.861470	 1.29949	-24.52936	 1.58501	29.099985	6.861470	205.626501	 2.47032	-29.26392	 1.54069	    3.47	    0.82	   24.49	    0.41	   -0.57	    0.26	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      54	   1.995	  -5.995	214.3462	36.020517	-15.06475	 1.76495	26.766176	215.4088	-18.744409	-3.78055	-52.08725	 2.56499	34.250133	18.744409	214.346229	-0.63912	-57.65975	 2.69826	    4.08	    2.23	   25.52	   -0.11	   -1.13	    0.45	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      55	   1.995	   6.000	212.3448	32.808729	80.66313	18.07010	16.789231	213.0585	83.650692	10.83052	-35.19453	-24.54476	24.197406	-83.650692	212.344781	-3.64167	-39.13145	-24.93698	    2.88	   -9.96	   25.29	   -0.61	   -0.77	   -4.16	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      56	   1.995	  -3.995	206.7498	29.619325	-28.94308	26.16902	20.315520	207.5830	-30.936309	-0.67171	-25.72672	 7.54486	27.530907	30.936309	206.749754	 4.62506	-30.20600	 7.57284	    3.28	    3.68	   24.62	    0.77	   -0.59	    1.26	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      57	   1.995	   2.000	205.7297	29.051021	33.33077	28.71444	20.690022	206.5753	34.324329	 6.02752	-22.92939	-11.69606	27.870097	-34.324329	205.729684	 0.03156	-27.46385	-11.91315	    3.32	   -4.09	   24.50	    0.01	   -0.54	   -1.99	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      58	   1.995	   4.005	205.4132	30.587021	55.93914	24.86771	19.437052	206.2150	57.938836	 8.19545	-26.68604	-18.35105	26.605339	-57.938836	205.413174	-1.87590	-31.01473	-18.64771	    3.17	   -6.90	   24.46	   -0.31	   -0.61	   -3.11	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      59	   1.995	  -4.000	849.3570	102.899930	-120.45408	62.44688	64.616430	852.1236	-127.338594	-6.25988	-150.58401	30.79082	94.246819	127.338594	849.357045	15.53530	-165.91797	31.02759	   11.22	   15.16	  101.14	    2.59	   -3.26	    5.17	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      60	   1.995	  10.000	915.8127	121.327531	503.83354	-58.28471	0.087996	916.3714	517.247478	69.31300	-287.37756	-140.69868	31.994518	-517.247478	915.812692	-19.79009	-292.58307	-143.19888	    3.81	  -61.59	  109.05	   -3.30	   -5.75	  -23.87	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      61	   1.995	  -9.995	911.5961	101.109550	-410.09823	-14.08721	-3.360092	912.0321	-421.422932	-37.88000	-242.09524	94.22196	28.397435	421.422932	911.596134	33.99314	-246.71551	95.59884	    3.38	   50.18	  108.55	    5.67	   -4.85	   15.94	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      62	   1.995	  -5.994	874.5757	83.235495	-221.34367	17.49016	29.179275	876.1229	-228.825362	-14.45341	-201.54057	51.83983	59.666771	228.825362	874.575731	24.59242	-211.24836	52.37483	    7.11	   27.25	  104.14	    4.10	   -4.15	    8.73	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      63	   1.995	  -2.005	836.2087	75.604548	-26.01623	72.54167	45.487336	838.3008	-28.645452	 3.13957	-137.03354	 3.19869	74.648039	28.645452	836.208736	 7.90978	-149.17877	 3.09125	    8.89	    3.41	   99.57	    1.32	   -2.93	    0.52	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
