  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	   1.995	   6.005	844.8279	107.614318	259.46616	51.77595	50.423846	847.0965	269.300513	27.68046	-159.99817	-70.24733	79.879695	-269.300513	844.827927	-18.59972	-172.99460	-71.25404	    9.51	  -32.07	  100.60	   -3.10	   -3.40	  -11.88	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       2	   1.995	  10.000	221.4078	42.637859	65.86627	-18.91918	22.827084	222.3371	72.269601	14.87964	-74.50345	-15.62273	30.552537	-72.269601	221.407758	 2.56788	-79.47435	-16.15046	    3.64	   -8.61	   26.37	    0.43	   -1.56	   -2.69	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       3	   1.995	 -10.000	912.6447	136.150598	-478.67176	-10.14897	19.162740	913.8655	-495.041969	-55.69975	-238.61536	129.37429	50.961685	495.041969	912.644695	29.38620	-246.90682	131.39276	    6.07	   58.95	  108.68	    4.90	   -4.85	   21.90	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       4	   1.995	   2.000	206.8638	28.009294	16.32055	22.69766	20.205354	207.6930	17.288123	 1.39062	-29.22559	-4.64377	27.422653	-17.288123	206.863807	-1.58484	-33.68726	-4.69502	    3.27	   -2.06	   24.63	   -0.26	   -0.66	   -0.78	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       5	   1.995	  10.005	902.3261	132.228145	432.12380	-13.56431	23.700351	903.6987	448.524858	53.00587	-239.48899	-109.23070	55.142651	-448.524858	902.326068	-23.80809	-248.46070	-111.14312	    6.57	  -53.41	  107.45	   -3.97	   -4.88	  -18.53	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       6	   1.995	   0.000	833.5281	95.650540	-8.45169	80.45400	66.578465	836.3525	-8.451694	-2.83754	-128.63413	10.68496	95.650540	8.451694	833.528143	-1.08834	-144.19647	10.79027	   11.39	    1.01	   99.26	   -0.18	   -2.83	    1.80	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       7	   1.995	 -10.000	221.8518	44.299298	-69.51323	-19.63600	23.813928	222.8158	-76.149663	-16.26091	-75.33995	18.33078	31.555446	76.149663	221.851839	-3.22264	-80.47402	18.90826	    3.76	    9.07	   26.42	   -0.54	   -1.58	    3.15	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       8	   1.995	  -6.000	216.8433	36.229652	-34.18327	-3.65979	24.890332	217.8418	-37.783039	-9.35219	-58.12022	10.45535	32.458057	37.783039	216.843335	-2.83483	-63.40115	10.78742	    3.87	    4.50	   25.82	   -0.47	   -1.25	    1.80	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
       9	   1.995	   6.005	213.0700	30.955504	64.73539	15.25186	16.582074	213.7767	67.618589	 6.38407	-38.19232	-17.87515	24.013335	-67.618589	213.069953	-5.24431	-42.09929	-18.10835	    2.86	   -8.05	   25.37	   -0.87	   -0.83	   -3.02	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      10	   1.995	   3.995	843.6264	101.389507	151.18770	63.08551	61.189455	846.2692	157.884086	17.92498	-148.48179	-41.52377	90.609985	-157.884086	843.626428	-9.22079	-163.22403	-42.17327	   10.79	  -18.80	  100.46	   -1.54	   -3.21	   -7.03	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      11	   1.995	  -6.000	870.1396	112.641407	-296.95335	24.08232	50.646679	872.4313	-307.100840	-32.50270	-194.02550	87.57821	80.984268	307.100840	870.139643	20.53451	-207.20164	88.76338	    9.64	   36.57	  103.62	    3.42	   -4.07	   14.80	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      12	   1.995	   2.000	835.3141	95.946405	54.23157	77.80764	64.862065	838.0797	57.547014	 6.38129	-131.71229	-16.07678	93.995303	-57.547014	835.314066	-3.54577	-147.00533	-16.30879	   11.19	   -6.85	   99.47	   -0.59	   -2.89	   -2.72	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      13	   1.995	 -10.000	910.3238	136.102467	-478.25043	-9.75882	19.269278	911.5469	-494.618676	-55.66233	-237.64555	129.21762	50.987450	494.618676	910.323762	29.34927	-245.94121	131.23469	    6.07	   58.90	  108.40	    4.89	   -4.83	   21.88	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      14	   1.995	  -3.995	852.6302	103.087036	-187.22483	44.84553	60.059258	855.2391	-193.951916	-23.82848	-168.96424	58.51269	89.792703	193.951916	852.630209	 9.78118	-183.57351	59.37811	   10.69	   23.10	  101.53	    1.63	   -3.61	    9.90	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      15	   1.995	  -3.995	208.0576	29.111002	-46.20639	19.94648	18.563213	208.8303	-48.122260	-5.89977	-32.26109	14.72075	25.821094	48.122260	208.057555	 2.44634	-36.46218	14.93516	    3.08	    5.73	   24.78	    0.41	   -0.72	    2.49	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
