  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 12:04:32	   1.995	  -4.000	    0.00	    0.00	    -0.7	    19.8	     2.5	    -0.3	    -2.4	   -17.1
       0	 12:05:06	   1.995	  -2.000	    0.00	    0.00	    -1.2	     4.5	     2.1	     1.9	    -4.6	    -4.8
       0	 12:05:42	   1.995	   4.000	    0.00	    0.00	    -1.5	    -8.7	     0.6	     4.0	    -4.9	     9.8
       0	 12:06:09	   1.995	   2.000	    0.00	    0.00	     1.6	    -2.4	     1.8	     2.9	    -5.2	     2.6
       0	 12:06:34	   1.995	   6.005	    0.00	    0.00	    -1.6	    -4.2	    -0.9	     4.5	    -2.1	    11.4
       0	 12:07:03	   1.995	   9.995	    0.00	    0.00	     9.8	    -7.2	    -3.8	     4.7	     1.9	    15.6
       0	 12:08:00	   1.995	  -9.995	    0.00	    0.00	    34.6	    43.4	     5.0	    -5.5	    -0.8	   -36.4
       0	 12:08:26	   1.995	  -5.995	    0.00	    0.00	    11.0	    10.3	     3.6	    -0.4	    -4.3	   -12.6
       0	 12:08:56	   1.995	   0.005	    0.00	    0.00	    -5.5	    -5.5	     2.0	     2.5	    -6.0	     2.5
