  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 12:41:53	   1.995	  -4.000	    0.00	    0.00	    -4.4	    15.1	     0.3	     0.4	    -3.8	   -12.7
       0	 12:42:17	   1.995	  -2.000	    0.00	    0.00	    -5.3	    -0.3	     0.6	     2.4	    -6.1	     0.5
       0	 12:42:46	   1.995	   4.000	    0.00	    0.00	    -7.6	   -15.5	    -1.2	     4.8	    -6.3	    16.3
       0	 12:43:06	   1.995	   2.000	    0.00	    0.00	    -2.9	    -8.7	     0.4	     3.3	    -5.5	     8.7
       0	 12:43:31	   1.995	   6.005	    0.00	    0.00	    -6.6	   -11.7	    -2.9	     4.9	    -3.8	    18.7
       0	 12:43:56	   1.995	  10.000	    0.00	    0.00	     3.6	   -14.7	    -5.1	     5.2	     0.4	    23.3
       0	 12:44:52	   1.995	  -9.995	    0.00	    0.00	    28.2	    36.1	     3.8	    -4.8	    -3.3	   -29.7
       0	 12:45:19	   1.995	  -5.995	    0.00	    0.00	     4.1	     2.4	     2.0	     0.5	    -6.3	    -4.7
       0	 12:45:48	   1.995	   0.005	    0.00	    0.00	   -12.8	   -13.3	     0.3	     3.7	    -8.0	     9.7
